DateTime,AddedIPs,RemovedIPs
1568257223,1,0
1568282423,0,1
1568340022,0,1
1568372422,0,1
1568466024,1,0
1568469623,1,0
1568502023,0,1
1568570423,0,1
1568592028,4,0
1568610028,1,0
1568613628,1,0
1568628030,0,1
1568646025,0,1
1568671226,1,0
1568692828,1,0
1568710829,1,0
1568736028,1,0
1568761227,0,1
1568764838,1,0
1568768429,1,0
1568775628,0,1
1568793629,1,1
1568811631,1,0
1568822429,0,1
1568851230,0,1
1568880028,0,1
1568887228,0,1
1568908852,1,0
1568930430,1,0
1568955630,0,1
1569049230,1,0
1569074428,0,2
1569085228,1,0
1569096028,0,1
1569196825,0,4
1569214827,0,1
1569218425,1,1
1569229226,1,0
1569272426,1,0
1569279626,1,0
1569322827,0,1
1569337225,1,0
1569340825,0,1
1569373223,0,1
1569394826,1,0
1569405623,0,1
1569420023,0,1
1569459621,2,0
1569492022,0,1
1569524423,3,0
1569535222,0,1
1569538821,0,1
1569636021,0,1
1569697219,0,1
1569715221,1,0
1569762023,1,1
1569826824,1,0
1569844824,1,0
1569855623,0,1
1569884470,110,1
1569891674,1,0
1569949275,0,1
1569974470,1,0
1570003270,1,0
1570010470,0,1
1570093269,0,1
1570100471,1,0
1570129271,0,1
1570132868,0,1
1570154469,0,1
1570222871,1,0
1570230069,0,1
1570251670,1,0
1570309269,1,0
1570345266,0,1
1570392065,0,1
1570395666,1,0
1570410066,0,1
1570453268,0,1
1570467670,0,1
1570471263,0,2
1570489217,0,110
1570532419,1,0
1570554027,1,0
1570579220,1,0
1570593617,0,1
1570615218,0,1
1570726831,0,1
1570788017,1,0
1570795220,1,0
1570820421,1,0
1570827628,1,0
1570852823,0,1
1570856424,0,1
1570878024,0,1
1571000425,0,1
1571007621,0,1
1571018423,1,0
1571025622,1,0
1571036422,0,1
1571079624,1,0
1571119225,1,0
1571122826,1,0
1571173226,0,1
1571184023,1,0
1571216436,1,0
1571223626,0,1
1571443223,0,1
1571446825,0,1
1571497220,0,1
1571554818,0,1
1571612417,0,1
1571659216,0,1
1571684416,0,1
1571742017,1,0
1571756417,0,1
1571785216,1,0
1571821216,0,1
1571824818,1,0
1571828417,0,1
1571979620,1,0
1571990418,1,0
1572030020,1,0
1572084023,1,0
1572091221,1,0
1572098423,1,0
1572112826,1,0
1572264025,1,0
1572278422,0,1
1572328825,1,0
1572346823,0,1
1572390022,1,0
1572408025,0,1
1572433221,0,1
1572552021,1,0
1572584421,0,1
1572595220,0,1
1572656417,0,1
1572699617,0,1
1572706817,0,1
1572753615,0,1
1572879622,0,1
1572886814,0,1
1572915615,1,0
1572922819,1,0
1572937225,0,1
1572940816,1,0
1572962417,1,0
1572998418,1,0
1573059618,0,1
1573092018,1,0
1573146020,1,0
1573156819,0,1
1573174820,1,0
1573182025,1,0
1573282822,1,0
1573372821,1,0
1573470023,2,0
1573534821,0,1
1573545621,0,2
1573588820,0,1
1573599628,1,0
1573606821,1,0
1573635622,1,0
1573660820,0,1
1573750818,0,1
1573761618,0,1
1573783219,2,0
1573833619,0,1
1573934418,0,1
1573988419,1,0
1574049621,1,0
1574074820,0,3
1574092819,1,0
1574100019,1,0
1574150420,1,1
1574186418,1,0
1574204420,1,0
1574229619,1,0
1574236821,0,1
1574240418,0,1
1574276419,1,0
1574388022,1,0
1574395223,1,0
1574485222,0,1
1574488822,0,1
1574506822,1,0
1574575223,1,0
1574582424,2,0
1574589669,103,0
1574596868,0,1
1574636466,0,1
1574704869,1,0
1574712066,0,1
1574719268,0,1
1574744466,1,0
1574751666,0,1
1574784067,1,0
1574809267,1,0
1574820067,0,1
1574838066,0,1
1574888469,1,0
1574931669,0,1
1574949675,1,0
1574964077,1,0
1575003668,0,1
1575014466,0,1
1575072068,1,0
1575115266,0,1
1575176466,1,0
1575180071,0,1
1575187263,0,2
1575194423,0,103
1575270021,1,0
1575309621,0,1
1575313222,1,0
1575316821,0,2
1575331220,1,0
1575338425,0,1
1575349219,0,1
1575414021,1,0
1575471620,0,1
1575493224,1,0
1575514823,1,0
1575522020,0,1
1575543626,1,0
1575619224,1,0
1575644427,1,0
1575658834,6,0
1575669634,0,1
1575676830,0,1
1575680431,1,0
1575777631,1,0
1575781230,0,1
1575795630,1,1
1575824432,1,0
1575842432,1,0
1575939630,0,1
1575957632,0,1
1575961275,103,0
1575975672,0,1
1576018873,1,0
1576065673,0,1
1576083673,2,0
1576087276,7,0
1576090876,1,0
1576098076,1,0
1576105275,0,1
1576126874,1,0
1576170074,0,1
1576191675,1,1
1576206076,1,0
1576220480,1,0
1576231278,1,0
1576234878,0,1
1576238477,1,1
1576263675,0,5
1576278071,0,1
1576285269,0,1
1576296074,1,0
1576299672,2,0
1576303272,1,0
1576306871,1,0
1576310472,3,0
1576314075,1,0
1576321272,1,0
1576324871,1,0
1576328473,1,0
1576332074,1,0
1576339274,1,0
1576342877,2,0
1576346479,1,0
1576357282,1,0
1576360881,1,0
1576368081,1,0
1576371681,1,0
1576378882,1,0
1576382481,2,0
1576386083,2,0
1576389684,2,0
