DateTime,AddedIPs,RemovedIPs
1561751787,1,0
1561753717,0,1
1561755705,1,0
1561783749,0,2
1561785642,0,1
1561802936,1,0
1561818258,1,0
1561822117,1,0
1561826182,0,1
1561835805,0,4
1561841571,0,1
1561843479,1,0
1561889815,0,1
1561905171,0,2
1561907070,1,1
1561912621,1,0
1561924107,1,0
1561929865,0,1
1561933004,1,0
1561990590,1,0
1562000492,0,1
1562010011,0,1
1562017719,0,1
1562022156,0,1
1562028270,1,0
1562040078,1,0
1562070795,0,1
1562076766,0,1
1562092359,1,0
1562113471,0,1
1562125255,0,1
1562177822,8,1
1562179722,6,0
1562263724,0,1
1562423078,1,13
1562484997,1,0
1562510177,0,1
1562512108,1,0
1562572099,0,1
1562589392,1,0
1562598997,0,1
1562600901,1,0
1562606666,1,0
1562677004,0,1
1562686811,0,1
1562690659,0,1
1562778978,1,0
1562866130,1,1
1562874029,1,0
1562881699,1,0
1562899217,1,0
1562940104,1,0
1562953461,0,1
1562961145,0,1
1562966911,1,1
1562986100,0,1
1563026674,0,1
1563051663,0,1
1563195387,1,0
1563213147,1,0
1563282287,0,1
1563299800,2,1
1563314190,1,0
1563374924,1,0
1563384515,0,1
1563387392,0,1
1563398891,1,0
1563400998,0,1
1563461561,0,1
1563476926,1,0
1563484588,0,1
1563560439,0,1
1563712362,1,0
1563797791,0,1
1563819165,1,0
1563891422,1,0
1563906768,0,1
1563975863,0,1
1564069469,1,0
1564155397,0,1
1564410756,1,0
1564495164,1,0
1564497138,0,1
1564499366,1,0
1564501237,1,0
1564512986,1,0
1564582593,0,1
1564584509,0,1
1564586445,0,1
1564597968,0,1
1564601081,1,0
1564606872,1,0
1564682190,1,0
1564684100,1,0
1564687991,0,1
1564693950,0,1
1564695863,1,0
1564767383,0,1
1564771455,0,1
1564781075,0,1
1564802180,1,0
1564842757,1,0
1564888838,0,1
1564927499,0,1
1564975965,1,0
1565010285,3,0
1565017952,1,0
1565022063,1,0
1565062826,0,1
1565097644,0,3
1565105560,1,1
1565107497,0,1
1565128573,1,0
1565187626,1,0
1565191484,0,1
1565214756,0,1
1565239948,1,0
1565243785,1,0
1565250503,1,0
1565262119,1,0
1565273538,0,1
1565285061,1,0
1565326099,0,1
1565331856,0,1
1565335698,0,1
1565349393,0,1
1565370541,0,1
1565535392,1,0
1565553157,1,0
1565560868,1,0
1565622755,0,1
1565640159,0,1
1565706263,1,0
1565708197,1,0
1565727855,0,1
1565747537,1,0
1565770826,1,0
1565791969,1,0
1565793889,0,2
1565799863,2,0
1565805697,1,0
1565809495,1,0
1565823170,1,0
1565833217,0,1
1565879446,0,1
1565885589,0,1
1565887448,0,1
1565891326,1,0
1565893238,0,1
1565895135,0,1
1565910999,0,1
1565912892,0,1
1565972919,1,0
1565978692,0,1
1565990179,1,0
1565995956,1,0
1566042742,1,0
1566048496,1,0
1566058393,0,1
1566076607,0,1
1566082359,0,1
1566108745,1,0
1566128188,0,1
1566133946,0,1
1566193969,0,1
1566232814,2,0
1566234759,1,0
1566240507,2,0
1566303637,2,0
1566319230,0,2
1566326903,0,2
1566387623,0,2
1566417144,1,1
1566420978,1,0
1566484111,2,0
1566488199,1,0
1566493964,1,0
1566497803,1,0
1566503599,0,1
1566507404,0,1
1566570496,0,2
1566574372,0,1
1566580609,1,1
1566582497,1,1
1566634104,1,0
1566636270,1,0
1566643961,2,0
1566665303,3,0
1566667237,0,1
1566669169,0,1
